layer,temperature,mutation_rate,cost,metrics,loss,sparsity
0,1,0.15,44.117669,0.97,0.09586,0.022667
0,0.590616,0.14925,20.270704,0.9661,0.110394,0.049333
0,0.383224,0.147,15.95794,0.9665,0.111735,0.062667
0,0.324734,0.14475,12.296342,0.9609,0.124985,0.081333
0,0.239346,0.13275,10.564411,0.9638,0.121586,0.094667
0,0.207098,0.11625,10.136114,0.9634,0.120756,0.098667
0,0.201969,0.11175,9.616637,0.9625,0.124863,0.104
0,0.190531,0.09825,9.376112,0.9636,0.122827,0.106667
0,0.188059,0.0945,8.929733,0.9636,0.123553,0.112
0,0.183734,0.087,8.929733,0.9636,0.123553,0.112
0,0.180054,0.0795,8.722056,0.9623,0.123022,0.114667
0,0.177167,0.07275,8.42818,0.9619,0.124303,0.118667
0,0.167903,0.04425,8.42818,0.9619,0.124303,0.118667
0,0.166933,0.0405,8.334541,0.962,0.124223,0.12
0,0.166557,0.039,8.334541,0.962,0.124223,0.12
0,0.165469,0.0345,8.334541,0.962,0.124223,0.12
0,0.164774,0.0315,8.334541,0.962,0.124223,0.12
0,0.164103,0.0285,8.334541,0.962,0.124223,0.12
0,0.163938,0.02775,8.065668,0.9623,0.123413,0.124
0,0.163613,0.02625,7.979876,0.9623,0.123418,0.125333
0,0.163452,0.0255,7.895975,0.9616,0.124661,0.126667
0,0.162822,0.0225,7.81375,0.962,0.124818,0.128
0,0.162515,0.021,7.81375,0.962,0.124818,0.128
0,0.161766,0.01725,7.654318,0.9605,0.124917,0.130667
0,0.161619,0.0165,7.654318,0.9605,0.124917,0.130667
0,0.161329,0.015,7.654318,0.9605,0.124917,0.130667
0,0.161186,0.01425,7.654318,0.9605,0.124917,0.130667
0,0.161044,0.0135,7.501204,0.9628,0.124174,0.133333
0,0.160623,0.01125,7.501204,0.9628,0.124174,0.133333
0,0.160212,0.009,7.501204,0.9628,0.124174,0.133333
0,0.160076,0.00825,7.501204,0.9628,0.124174,0.133333
0,0.159942,0.0075,7.501204,0.9628,0.124174,0.133333
0,0.159808,0.00675,7.501204,0.9628,0.124174,0.133333
0,0.159676,0.006,7.501204,0.9628,0.124174,0.133333
0,0.159544,0.00525,7.501204,0.9628,0.124174,0.133333
0,0.159413,0.0045,7.501204,0.9628,0.124174,0.133333
0,0.159154,0.003,7.501204,0.9628,0.124174,0.133333
0,0.159026,0.00225,7.501204,0.9628,0.124174,0.133333
0,0.158899,0.0015,7.501204,0.9628,0.124174,0.133333
0,0.158773,0.00075,7.501204,0.9628,0.124174,0.133333
2,1,0.15,6.179686,0.9288,0.229181,0.162333
2,0.476505,0.1485,5.3275,0.9306,0.231283,0.188417
2,0.312771,0.144,4.812928,0.9146,0.302411,0.20975
2,0.274796,0.14025,4.431059,0.9044,0.336576,0.228833
2,0.208045,0.117,4.216833,0.8946,0.372883,0.24175
2,0.176571,0.07125,4.098312,0.9157,0.369123,0.24875
2,0.162363,0.02025,4.076774,0.915,0.371309,0.250167
2,0.161619,0.0165,4.056564,0.911,0.373046,0.2515
2,0.160763,0.012,4.045526,0.9136,0.374426,0.25225
2,0.159544,0.00525,4.038854,0.9168,0.374189,0.252667
2,0.159154,0.003,4.038854,0.9168,0.374189,0.252667
2,0.158773,0.00075,4.032005,0.9152,0.36428,0.25275
5,1,0.15,3.692868,0.8878,0.491761,0.283204
5,0.476505,0.1485,3.48101,0.878,0.573597,0.308012
5,0.41906,0.14775,3.453301,0.8236,0.736654,0.32955
5,0.312771,0.144,3.306903,0.8256,0.741001,0.346933
5,0.177471,0.0735,3.248911,0.8392,0.744996,0.354712
5,0.166006,0.03675,3.214751,0.8601,0.740529,0.358312
5,0.164946,0.03225,3.200604,0.8646,0.749505,0.361671
5,0.158773,0.00075,3.199436,0.8638,0.748934,0.361725
6,0.257045,0.13725,3.159562,0.8726,0.854639,0.388491
6,0.162363,0.02025,3.154055,0.875,0.864275,0.391586
6,0.162062,0.01875,3.149611,0.8738,0.873942,0.394602
6,0.161044,0.0135,3.132559,0.8786,0.871633,0.396705
6,0.159676,0.006,3.126857,0.8754,0.872969,0.397935
6,0.159154,0.003,3.125004,0.8741,0.873623,0.398392
6,0.158773,0.00075,3.125469,0.8759,0.874715,0.39859
7,0.232784,0.1305,3.155964,0.8763,0.998644,0.429304
7,0.162515,0.021,3.106407,0.8628,0.980376,0.4324
7,0.162212,0.0195,3.10897,0.8433,0.990279,0.435257
7,0.159808,0.00675,3.09727,0.8753,0.985864,0.435971
7,0.159676,0.006,3.107207,0.8714,0.992776,0.436447
7,0.159544,0.00525,3.106152,0.8665,0.994263,0.437162
7,0.159283,0.00375,3.10194,0.869,0.99331,0.437638
7,0.159154,0.003,3.09679,0.8764,0.991834,0.438114
7,0.159026,0.00225,3.09679,0.8764,0.991834,0.438114
7,0.158899,0.0015,3.09679,0.8764,0.991834,0.438114
7,0.158773,0.00075,3.096421,0.8744,0.992316,0.438352
